Spoken form, Cursorless identifier
bottom, scrollToBottom
breakpoint, toggleLineBreakpoint
bring, replaceWithTarget
call, callAsFunction
carve, cutToClipboard
center, scrollToCenter
change, clearAndSetSelection
kill, remove
clone, insertCopyAfter
clone up, insertCopyBefore
comment, toggleLineComment
copy, copyToClipboard
crown, scrollToTop
dedent, outdentLine
define, revealDefinition
drink, editNewLineBefore
drunk, insertEmptyLineBefore
extract, extractVariable
flood, insertEmptyLineAfter
fold, foldRegion
format, applyFormatter
give, deselect
hover, showHover
indent, indentLine
inspect, showDebugHover
move, moveToTarget
paste to, pasteFromClipboard
phones, nextHomophone
post, setSelectionAfter
pour, editNewLineAfter
pre, setSelectionBefore
puff, insertEmptyLinesAround
quick fix, showQuickFix
reference, showReferences
rename, rename
repack, rewrap
reverse, reverseTargets
scout, findInDocument
scout all, findInWorkspace
shuffle, randomizeTargets
sort, sortTargets
swap, swapTargets
take, setSelection
type deaf, revealTypeDefinition
unfold, unfoldRegion
wrap, wrapWithPairedDelimiter


# 2022-04-28 08:51:13 - New entries automatically added by cursorless
follow, followLink
highlight, highlight

# 2022-07-16 15:36:15 - New entries automatically added by cursorless
snippet, insertSnippet
snippet make, generateSnippet